SPEEDLIMIT,SURFACEWIDTH,AWDT_ROUNDED,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_child,severity
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,2
25.0,74.0,11900,0,0,1,0,1,0,0,1,0,3
25.0,54.0,8800,0,0,1,0,1,0,0,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,1,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,1,0,3
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,2
25.0,74.0,11900,0,0,1,0,1,0,1,1,0,3
25.0,74.0,11900,0,0,1,0,1,0,1,0,0,3
25.0,74.0,11900,0,0,1,0,1,0,1,0,0,2
25.0,74.0,14400,0,1,1,0,1,0,0,0,0,2
25.0,74.0,14400,0,1,1,0,1,0,1,0,0,3
25.0,74.0,14400,0,1,1,0,1,0,1,0,0,3
25.0,54.0,12000,0,0,1,0,1,0,0,0,0,3
25.0,74.0,11900,0,0,1,0,1,0,1,0,0,2
25.0,74.0,11900,0,0,1,0,1,0,1,0,0,3
25.0,74.0,11900,0,0,1,0,1,0,1,0,0,2
25.0,36.0,7500,1,0,1,0,1,0,1,0,0,3
25.0,52.0,13100,0,0,1,0,1,0,1,0,0,2
20.0,24.0,9100,0,0,0,0,0,0,1,0,0,2
25.0,26.0,7100,0,0,0,0,0,0,1,0,0,3
25.0,47.0,8400,0,1,0,0,1,0,1,0,0,3
25.0,47.0,8400,0,1,0,0,1,0,1,0,0,2
25.0,47.0,8400,0,0,0,0,1,0,0,0,0,3
20.0,25.0,9500,0,0,0,0,0,0,0,0,0,2
25.0,40.0,13000,0,0,0,0,1,0,0,1,0,3
25.0,40.0,13000,0,0,0,0,1,0,1,0,0,2
25.0,40.0,13000,0,0,0,0,1,0,1,0,0,2
25.0,40.0,17000,0,0,0,0,0,0,1,0,0,2
25.0,40.0,12100,0,0,0,0,1,0,1,0,0,3
25.0,38.0,11100,0,0,1,0,1,0,1,0,0,3
25.0,42.0,6700,0,1,1,0,1,0,0,0,0,2
