REPORT NUMBER,PRIMARY TRAFFICWAY,INTERSECTING TRAFFICWAY,DATETIME,LONGITUDE,LATITUDE,is_dry,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
E921462,8TH AVE NW,NW 57TH ST,2019-05-09 08:48:00,-122.36617753743903,47.67015272182688,1,1,0,0,0,0,0,0,0,1,2
3694268,8TH AVE NW,NW 58TH ST,2017-08-24 08:43:00,-122.36617247893034,47.67088769098453,1,1,0,0,0,0,0,0,0,1,3
E795977,8TH AVE NW,NW 58TH ST,2018-05-08 07:21:00,-122.36617247893034,47.67088769098453,1,1,0,0,0,0,0,0,0,0,3
3803277,8TH AVE NW,NW 61ST ST,2019-10-09 08:30:00,-122.36614249175007,47.67307772561672,1,1,0,0,0,0,0,0,0,0,3
E979830,8TH AVE NW,NW 62ND ST,2019-10-26 09:23:00,-122.36610853734825,47.67380369594991,1,1,0,0,0,0,0,0,0,0,2
E978471,8TH AVE NW,NW 67TH ST,2019-10-31 08:12:00,-122.36611819544177,47.67776477676638,1,1,0,0,0,0,0,0,0,0,3
E982508,8TH AVE NW,NW 70TH ST,2019-11-12 07:35:00,-122.36611654183444,47.679537718629646,0,1,0,0,0,0,0,0,0,0,2
3769742,8TH AVE NW,NW 75TH ST,2017-06-18 12:56:00,-122.36610748025551,47.6832577177669,0,1,0,0,0,1,0,0,0,0,3
3751412,8TH AVE NW,NW MARKET ST,2018-10-16 08:27:00,-122.36618065278921,47.668669486630165,1,1,0,0,0,0,0,0,1,0,3
3702627,9TH AVE,,2018-04-27 14:59:00,-122.3269792421991,47.608022016143494,1,1,0,0,0,0,0,0,0,1,3
3772003,9TH AVE,JAMES ST,2017-02-01 20:10:00,-122.32473545411173,47.60556508436119,1,0,0,0,0,0,0,0,0,1,3
3812485,9TH AVE,OLIVE WAY,2018-12-19 12:00:00,-122.3329612630502,47.614522737432104,0,1,0,0,0,0,0,0,0,0,3
3812946,9TH AVE,PINE ST,2019-08-04 13:32:00,-122.33209526258828,47.613552775189795,1,1,0,0,0,0,0,0,0,1,3
3753714,9TH AVE N,,2017-12-08 15:15:00,-122.33977395188283,47.620799964433445,1,1,0,0,0,0,0,0,0,0,1
E778409,9TH AVE N,HARRISON ST,2018-03-01 09:30:00,-122.33976830077381,47.622041751077916,1,1,0,1,0,0,0,0,0,0,3
E695941,9TH AVE N,JOHN ST,2017-07-27 09:03:00,-122.33978225393936,47.61971374168911,0,1,0,0,1,0,0,0,1,0,2
3812203,9TH AVE N,MERCER ST,2018-06-01 18:13:00,-122.33974294878445,47.6246200589613,1,1,0,0,0,0,0,0,0,0,1
3771398,9TH AVE N,MERCER ST,2016-09-23 08:20:00,-122.33974298837519,47.62462003091724,1,1,0,1,0,0,0,0,0,0,3
E868716,9TH AVE N,MERCER ST,2018-12-03 10:07:00,-122.33974294878445,47.6246200589613,1,1,0,0,0,0,0,0,1,0,2
E674445,9TH AVE N,MERCER ST,2017-05-17 13:53:00,-122.33974294878445,47.6246200589613,1,1,0,0,0,0,0,0,0,0,3
3739933,9TH AVE N,MERCER ST,2017-07-07 15:49:00,-122.33974294878445,47.6246200589613,1,1,0,0,0,0,0,0,0,1,2
3754213,9TH AVE N,REPUBLICAN ST,2018-03-16 19:52:00,-122.33975924012866,47.62321177881705,1,0,0,0,0,0,0,0,0,0,3
E732775,9TH AVE N,REPUBLICAN ST,2017-10-20 18:45:00,-122.33975924012866,47.62321177881705,1,0,0,0,0,0,0,0,0,0,2
3750864,9TH AVE N,REPUBLICAN ST,2019-05-18 10:14:00,-122.33975924012866,47.62321177881705,1,1,0,0,0,0,0,0,0,0,3
3854995,9TH AVE NW,BURKE-GILMAN TRL,2020-06-22 14:00:00,-122.36863040248153,47.661452897437236,1,1,1,0,0,0,0,0,1,0,1
3751677,9TH AVE NW,NW 45TH ST,2018-09-04 07:34:00,-122.36865344372973,47.66145370758871,1,1,0,0,0,0,0,0,0,1,3
E705048,9TH AVE NW,NW 92ND ST,2017-08-24 16:54:00,-122.36870161392,47.69606569317234,1,1,0,0,0,0,0,0,0,0,2
3479539,ADAMS DR NE,BURKE GILMAN TRL,2016-11-30 16:32:00,-122.31676948244088,47.65482481190945,0,0,0,0,0,0,0,0,0,0,2
3578903,AIRPORT WAY S,,2017-10-12 20:17:00,-122.3207853825268,47.55316543738688,0,0,0,0,0,0,0,0,0,1,3
3754707,AIRPORT WAY S,,2018-03-10 16:46:00,-122.28845447226796,47.51419610725721,1,1,0,0,0,0,1,0,0,0,3
E704711,AIRPORT WAY S,CORSON AVE S,2017-08-21 07:00:00,-122.31979299768089,47.552143824860046,1,1,0,0,0,0,0,0,0,1,3
3876278,AIRPORT WAY S,S EDMUNDS ST,2020-08-20 06:28:00,-122.32328300055836,47.55977577657464,0,1,0,0,0,0,0,0,0,0,3
